--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
106.161  000.203  000.203: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/man.lua
107.170  000.253  000.253: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
107.178  000.977  000.724: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/matchit.vim
107.428  000.214  000.214: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/matchparen.vim
107.601  000.132  000.132: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/netrwPlugin.vim
107.817  000.182  000.182: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/osc52.lua
107.989  000.139  000.139: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/rplugin.vim
108.153  000.128  000.128: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/shada.vim
108.360  000.172  000.172: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/spellfile.vim
108.721  000.321  000.321: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/tarPlugin.vim
108.948  000.188  000.188: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/tohtml.lua
109.049  000.064  000.064: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/tutor.vim
109.273  000.193  000.193: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/zipPlugin.vim
109.654  000.202  000.202: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/indent-blankline.nvim/after/plugin/commands.lua
109.925  000.188  000.188: sourcing /Users/fredriksvahn/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
109.943  107.040  038.955: sourcing /Users/fredriksvahn/.config/nvim/init.lua
109.959  000.399: sourcing vimrc file(s)
